timestep,cur_kl,rate,mse,rmse,rmse_scaled
1000,1.96975,1.77581,0.00006,0.00746,0.95136
999,0.36653,1.40928,0.00011,0.01034,1.31897
998,0.19877,1.21051,0.00016,0.01262,1.60916
997,0.13422,1.07629,0.00021,0.01460,1.86121
996,0.10012,0.97617,0.00027,0.01639,2.09008
995,0.07902,0.89715,0.00033,0.01805,2.30157
994,0.06471,0.83244,0.00038,0.01961,2.50020
993,0.05438,0.77806,0.00044,0.02109,2.68842
992,0.04661,0.73145,0.00051,0.02250,2.86877
991,0.04057,0.69088,0.00057,0.02386,3.04231
990,0.03575,0.65513,0.00063,0.02518,3.21071
989,0.03181,0.62332,0.00070,0.02645,3.37233
988,0.02852,0.59480,0.00077,0.02768,3.52857
987,0.02579,0.56900,0.00083,0.02889,3.68329
986,0.02344,0.54557,0.00090,0.03005,3.83134
985,0.02146,0.52411,0.00097,0.03122,3.98030
984,0.01969,0.50442,0.00104,0.03232,4.12091
983,0.01817,0.48624,0.00112,0.03342,4.26132
982,0.01683,0.46942,0.00119,0.03449,4.39808
981,0.01563,0.45379,0.00126,0.03554,4.53163
980,0.01457,0.43921,0.00134,0.03659,4.66483
979,0.01363,0.42558,0.00141,0.03762,4.79604
978,0.01278,0.41280,0.00149,0.03863,4.92480
977,0.01200,0.40081,0.00157,0.03959,5.04814
976,0.01130,0.38950,0.00165,0.04058,5.17381
975,0.01066,0.37884,0.00172,0.04153,5.29526
974,0.01009,0.36875,0.00181,0.04250,5.41879
973,0.00955,0.35919,0.00189,0.04342,5.53623
972,0.00906,0.35013,0.00197,0.04435,5.65429
971,0.00861,0.34152,0.00205,0.04526,5.77016
970,0.00819,0.33332,0.00213,0.04615,5.88442
969,0.00780,0.32552,0.00221,0.04703,5.99609
968,0.00745,0.31806,0.00230,0.04793,6.11073
967,0.00713,0.31094,0.00238,0.04882,6.22412
966,0.00680,0.30414,0.00246,0.04963,6.32787
965,0.00651,0.29762,0.00255,0.05048,6.43561
964,0.00625,0.29138,0.00263,0.05133,6.54475
963,0.00599,0.28538,0.00272,0.05215,6.64948
962,0.00575,0.27963,0.00281,0.05298,6.75519
961,0.00553,0.27410,0.00289,0.05380,6.85977
960,0.00532,0.26878,0.00298,0.05459,6.96055
959,0.00511,0.26367,0.00306,0.05536,7.05823
958,0.00493,0.25873,0.00316,0.05618,7.16247
957,0.00476,0.25397,0.00325,0.05700,7.26787
956,0.00460,0.24937,0.00334,0.05777,7.36597
955,0.00444,0.24493,0.00343,0.05854,7.46372
954,0.00429,0.24064,0.00352,0.05930,7.56075
953,0.00414,0.23650,0.00360,0.06004,7.65448
952,0.00401,0.23249,0.00369,0.06078,7.74920
951,0.00388,0.22861,0.00379,0.06155,7.84824
950,0.00376,0.22484,0.00388,0.06231,7.94460
949,0.00365,0.22119,0.00398,0.06307,8.04115
948,0.00354,0.21765,0.00407,0.06381,8.13538
947,0.00343,0.21422,0.00416,0.06448,8.22148
946,0.00333,0.21089,0.00426,0.06525,8.31954
945,0.00324,0.20765,0.00435,0.06593,8.40605
944,0.00314,0.20451,0.00444,0.06663,8.49536
943,0.00306,0.20145,0.00454,0.06738,8.59110
942,0.00297,0.19848,0.00463,0.06808,8.68006
941,0.00289,0.19559,0.00472,0.06873,8.76292
940,0.00282,0.19277,0.00482,0.06946,8.85571
939,0.00274,0.19003,0.00492,0.07014,8.94272
938,0.00267,0.18736,0.00502,0.07085,9.03378
937,0.00260,0.18476,0.00511,0.07149,9.11528
936,0.00254,0.18222,0.00521,0.07217,9.20224
935,0.00247,0.17975,0.00531,0.07284,9.28654
934,0.00241,0.17734,0.00540,0.07350,9.37129
933,0.00235,0.17498,0.00550,0.07416,9.45563
932,0.00230,0.17268,0.00560,0.07481,9.53871
931,0.00224,0.17044,0.00569,0.07544,9.61842
930,0.00219,0.16825,0.00580,0.07613,9.70623
929,0.00214,0.16611,0.00590,0.07681,9.79284
928,0.00209,0.16402,0.00599,0.07742,9.87117
927,0.00205,0.16197,0.00609,0.07805,9.95181
926,0.00200,0.15997,0.00619,0.07865,10.02826
925,0.00195,0.15802,0.00629,0.07929,10.10936
924,0.00191,0.15610,0.00639,0.07996,10.19468
923,0.00187,0.15423,0.00649,0.08056,10.27105
922,0.00183,0.15240,0.00660,0.08124,10.35765
921,0.00180,0.15060,0.00670,0.08187,10.43831
920,0.00176,0.14884,0.00680,0.08247,10.51443
919,0.00172,0.14712,0.00690,0.08309,10.59398
918,0.00169,0.14543,0.00700,0.08369,10.66997
917,0.00166,0.14377,0.00711,0.08433,10.75146
916,0.00162,0.14215,0.00721,0.08492,10.82732
915,0.00159,0.14056,0.00732,0.08554,10.90616
914,0.00156,0.13900,0.00742,0.08616,10.98500
913,0.00153,0.13747,0.00752,0.08670,11.05391
912,0.00150,0.13597,0.00763,0.08733,11.13468
911,0.00147,0.13450,0.00774,0.08795,11.21390
910,0.00145,0.13305,0.00784,0.08854,11.28905
909,0.00142,0.13163,0.00793,0.08908,11.35722
908,0.00139,0.13024,0.00804,0.08965,11.43093
907,0.00137,0.12887,0.00814,0.09022,11.50351
906,0.00134,0.12753,0.00825,0.09085,11.58316
905,0.00132,0.12621,0.00836,0.09142,11.65547
904,0.00130,0.12491,0.00847,0.09201,11.73185
903,0.00128,0.12363,0.00858,0.09265,11.81331
902,0.00125,0.12238,0.00868,0.09317,11.87928
901,0.00123,0.12115,0.00878,0.09373,11.95008
900,0.00121,0.11994,0.00889,0.09430,12.02277
899,0.00119,0.11875,0.00901,0.09492,12.10230
898,0.00117,0.11758,0.00910,0.09541,12.16536
897,0.00115,0.11643,0.00920,0.09593,12.23075
896,0.00113,0.11529,0.00932,0.09653,12.30782
895,0.00111,0.11418,0.00942,0.09707,12.37677
894,0.00110,0.11308,0.00954,0.09766,12.45224
893,0.00108,0.11201,0.00964,0.09818,12.51786
892,0.00106,0.11094,0.00976,0.09879,12.59513
891,0.00105,0.10990,0.00986,0.09929,12.65937
890,0.00103,0.10887,0.00998,0.09991,12.73879
889,0.00101,0.10785,0.01009,0.10045,12.80726
888,0.00100,0.10686,0.01020,0.10099,12.87630
887,0.00098,0.10587,0.01032,0.10158,12.95126
886,0.00097,0.10490,0.01041,0.10201,13.00597
885,0.00095,0.10395,0.01052,0.10256,13.07609
884,0.00094,0.10301,0.01064,0.10317,13.15354
883,0.00093,0.10208,0.01075,0.10367,13.21813
882,0.00091,0.10117,0.01087,0.10426,13.29340
881,0.00090,0.10027,0.01098,0.10478,13.35999
880,0.00089,0.09938,0.01108,0.10527,13.42161
879,0.00088,0.09850,0.01121,0.10588,13.49988
878,0.00086,0.09764,0.01131,0.10636,13.56144
