timestep,is_mean,is_std,fid
1000,9.457483,0.105148,3.1651527197810196
950,8.647918,0.104750,10.136961556323968
900,8.312249,0.065909,15.472414686649188
850,7.999595,0.087931,20.75449862305294
800,7.679521,0.086308,25.851294603972235
750,7.390758,0.119385,31.407549173063728
700,7.108159,0.091629,37.48586683272907
650,6.776601,0.084753,45.396038463691866
600,6.245669,0.084436,57.929251906726165
550,5.437055,0.061384,77.77387270051719
500,4.334619,0.042872,110.27336018350604
450,3.219495,0.039348,171.09712383530518
400,2.520001,0.020513,249.25095631933124
350,2.271532,0.012869,303.6148872644294
300,2.033926,0.010961,317.1868864082775
250,1.740342,0.004839,318.62438481885994
200,1.507393,0.005736,326.8175877281651
150,1.315373,0.004552,349.6987217883871
100,1.262000,0.003722,360.9942856557594
50,1.298631,0.003835,353.3971544252943
